Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,GOOG,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-27 09:30:00-04:00,,337.69000244140625,233.47999572753906,,605.3250122070312,70.41000366210938,338.1400146484375,235.8800048828125,,611.260009765625,70.80000305175781,334.0199890136719,233.22000122070312,,600.1799926757812,69.86000061035156,334.8999938964844,235.6999969482422,,607.219970703125,70.58999633789062,11270804,6565341,,2456826,6218866
2026-07-27 10:30:00-04:00,,338.739990234375,233.30499267578125,,605.5349731445312,71.1500015258789,339.5,234.42999267578125,,607.010009765625,71.25,336.1199951171875,232.92999267578125,,598.97998046875,70.3949966430664,337.70001220703125,233.47999572753906,,605.2000122070312,70.40499877929688,7762742,4794245,,1599141,4512115
2026-07-27 11:30:00-04:00,,337.4501037597656,231.52999877929688,,599.02001953125,71.26499938964844,339.57000732421875,233.30999755859375,,605.7000122070312,71.6500015258789,336.75,230.99000549316406,,597.3905029296875,71.05999755859375,338.7300109863281,233.30999755859375,,605.4299926757812,71.1500015258789,6554357,3656257,,1073446,3736143
2026-07-27 12:30:00-04:00,,336.04998779296875,231.70069885253906,,596.8499755859375,70.9800033569336,338.1300048828125,232.19000244140625,,600.3699951171875,71.37000274658203,335.67999267578125,231.3800048828125,,596.3250122070312,70.8499984741211,337.4599914550781,231.52999877929688,,599.02001953125,71.26000213623047,3314628,2560976,,823646,3356148
2026-07-27 13:30:00-04:00,,335.1499938964844,231.8800048828125,,594.8499755859375,70.8550033569336,336.79998779296875,232.5128936767578,,597.3499755859375,71.16000366210938,335.04998779296875,231.49000549316406,,593.5050048828125,70.80999755859375,336.07000732421875,231.7100067138672,,596.8200073242188,70.99500274658203,3140907,2212299,,991497,2407507
2026-07-27 14:30:00-04:00,,335.7200012207031,232.25,,595.7100219726562,70.31999969482422,336.239990234375,232.98890686035156,,598.0399780273438,70.97029876708984,334.70001220703125,231.75999450683594,,593.8300170898438,70.27999877929688,335.1499938964844,231.86000061035156,,594.8214721679688,70.86000061035156,3486673,2702443,,844177,3122105
2026-07-27 15:30:00-04:00,,336.9200134277344,231.36000061035156,,593.9299926757812,70.4000015258789,337.2200012207031,232.3350067138672,,596.5,70.66590118408203,335.6499938964844,231.2100067138672,,593.1500244140625,70.28500366210938,335.7200012207031,232.2449951171875,,595.77001953125,70.32499694824219,3614510,3391901,,1137412,3955121
2026-07-28 09:30:00-04:00,,337.9599914550781,229.57000732421875,,594.52001953125,73.56999969482422,342.8900146484375,233.02000427246094,,601.0,73.75499725341797,335.6000061035156,229.27000427246094,,591.0,71.2300033569336,340.0299987792969,232.85000610351562,,595.9000244140625,72.11000061035156,13575047,9046681,,2261115,12781009
2026-07-28 10:30:00-04:00,,339.2699890136719,230.3000030517578,,593.756591796875,73.20999908447266,339.6687927246094,230.7299041748047,,594.739990234375,73.58499908447266,336.6000061035156,228.10000610351562,,587.0,72.62999725341797,337.9800109863281,229.55499267578125,,594.5,73.56999969482422,5797429,5104097,,1578674,6974092
2026-07-28 11:30:00-04:00,,339.80999755859375,231.27999877929688,,596.364990234375,73.20500183105469,340.1400146484375,231.8022003173828,,598.0,73.3499984741211,339.0,229.94000244140625,,593.3099975585938,72.85030364990234,339.2401123046875,230.2899932861328,,594.030029296875,73.22000122070312,4043365,3409351,,856349,2826944
2026-07-28 12:30:00-04:00,,339.0299987792969,232.02999877929688,,593.5499877929688,73.26499938964844,340.57989501953125,232.3800048828125,,597.0,73.44000244140625,338.93011474609375,231.0800018310547,,592.239990234375,73.16999816894531,339.8299865722656,231.28509521484375,,596.364990234375,73.19999694824219,3106607,2552662,,1152599,2907406
2026-07-28 13:30:00-04:00,,339.8399963378906,231.14999389648438,,594.469970703125,72.99500274658203,340.159912109375,232.13999938964844,,595.219970703125,73.4000015258789,339.0,230.80999755859375,,592.5,72.94000244140625,339.0400085449219,232.0399932861328,,593.5,73.26499938964844,3223079,2348397,,682259,3969469
2026-07-28 14:30:00-04:00,,339.20001220703125,230.94500732421875,,593.5050048828125,72.51499938964844,339.8900146484375,231.52999877929688,,595.3897094726562,73.18000030517578,338.2799987792969,230.75010681152344,,591.6900024414062,72.41000366210938,339.8399963378906,231.14500427246094,,594.489990234375,72.99500274658203,3590020,2425067,,707492,3625162
2026-07-28 15:30:00-04:00,,340.1600036621094,230.89999389648438,,593.6599731445312,72.37999725341797,340.5299987792969,231.24989318847656,,594.489990234375,72.55999755859375,339.1000061035156,230.39999389648438,,592.7000122070312,72.33499908447266,339.1600036621094,230.91000366210938,,593.4299926757812,72.51000213623047,6415578,8725766,,1826911,5245672
2026-07-29 09:30:00-04:00,,341.1600036621094,227.625,,588.3699951171875,72.05999755859375,343.6700134277344,230.24000549316406,,594.5499877929688,72.66999816894531,339.55999755859375,227.3699951171875,,586.3900146484375,71.75,339.69000244140625,229.31500244140625,,593.4199829101562,72.19000244140625,10935247,5867338,,2449866,8890134
2026-07-29 10:30:00-04:00,,339.80999755859375,228.01499938964844,,591.4500122070312,72.2699966430664,341.739990234375,228.3800048828125,,592.969970703125,72.43499755859375,339.5199890136719,227.19500732421875,,587.97998046875,71.81500244140625,341.1700134277344,227.60000610351562,,588.489990234375,72.08000183105469,4890702,3528621,,1446148,5198200
2026-07-29 11:30:00-04:00,,341.2699890136719,229.1699981689453,,590.8200073242188,73.28980255126953,341.55999755859375,229.17990112304688,,592.5999755859375,73.36499786376953,339.760009765625,227.32000732421875,,585.25,72.05000305175781,339.8299865722656,228.0,,591.4400024414062,72.27999877929688,3546410,3665075,,1500775,4478959
2026-07-29 12:30:00-04:00,,342.7200012207031,230.13999938964844,,592.9400024414062,73.0,343.44891357421875,230.8800048828125,,595.4495239257812,73.3499984741211,340.04998779296875,228.9199981689453,,589.8200073242188,72.47000122070312,341.25,229.13999938964844,,590.8300170898438,73.27999877929688,3813347,4196409,,1388402,4069895
2026-07-29 13:30:00-04:00,,343.58770751953125,231.44500732421875,,593.655029296875,73.57499694824219,344.56988525390625,232.0749969482422,,598.22998046875,73.62999725341797,342.3500061035156,229.36000061035156,,592.0399780273438,72.80010223388672,342.69500732421875,230.1300048828125,,592.9299926757812,73.00499725341797,5124505,3600633,,1383905,3345588
